,日期,locationName,當日最高溫度(°C),當日最低溫度(°C),當日平均溫度(°C)
0,2020-03-18,"BANQIAO,板橋",24.1,17.0,20.3
1,2020-03-19,"BANQIAO,板橋",21.9,18.3,19.7
2,2020-03-20,"BANQIAO,板橋",25.2,18.7,21.7
3,2020-03-21,"BANQIAO,板橋",30.1,19.4,23.9
4,2020-03-22,"BANQIAO,板橋",32.0,20.8,25.2
5,2020-03-23,"BANQIAO,板橋",24.0,18.6,21.5
6,2020-03-24,"BANQIAO,板橋",24.8,19.2,21.9
7,2020-03-25,"BANQIAO,板橋",30.7,19.5,23.8
8,2020-03-26,"BANQIAO,板橋",32.8,21.1,25.8
9,2020-03-27,"BANQIAO,板橋",31.5,20.6,24.1
10,2020-03-28,"BANQIAO,板橋",22.2,14.2,18.0
11,2020-03-29,"BANQIAO,板橋",20.6,14.6,17.6
12,2020-03-30,"BANQIAO,板橋",22.8,17.9,19.5
13,2020-03-31,"BANQIAO,板橋",25.3,18.3,20.9
14,2020-04-01,"BANQIAO,板橋",20.5,16.0,17.6
15,2020-04-02,"BANQIAO,板橋",21.8,16.6,19.1
16,2020-04-03,"BANQIAO,板橋",24.2,17.7,19.9
17,2020-04-04,"BANQIAO,板橋",19.1,16.8,17.9
18,2020-04-05,"BANQIAO,板橋",19.5,16.0,17.6
19,2020-04-06,"BANQIAO,板橋",21.4,17.0,18.3
20,2020-04-07,"BANQIAO,板橋",17.7,15.2,16.5
21,2020-04-08,"BANQIAO,板橋",19.8,17.0,18.8
22,2020-04-09,"BANQIAO,板橋",23.7,17.4,20.1
23,2020-04-10,"BANQIAO,板橋",27.6,19.2,22.9
24,2020-04-11,"BANQIAO,板橋",24.1,17.8,20.2
25,2020-04-12,"BANQIAO,板橋",18.5,11.4,15.2
26,2020-04-13,"BANQIAO,板橋",22.6,9.9,16.4
27,2020-04-14,"BANQIAO,板橋",25.5,14.5,19.7
28,2020-04-15,"BANQIAO,板橋",25.6,16.3,20.7
29,2020-04-16,"BANQIAO,板橋",30.8,14.4,22.1
30,2020-04-17,"BANQIAO,板橋",29.9,16.7,23.0
31,2020-04-18,"BANQIAO,板橋",29.8,19.2,24.2
32,2020-04-19,"BANQIAO,板橋",29.7,21.7,25.2
33,2020-04-20,"BANQIAO,板橋",26.0,23.0,24.0
34,2020-04-21,"BANQIAO,板橋",25.4,20.4,22.6
35,2020-04-22,"BANQIAO,板橋",20.8,18.5,19.4
36,2020-04-23,"BANQIAO,板橋",19.6,15.9,17.8
37,2020-04-24,"BANQIAO,板橋",18.9,15.6,16.8
38,2020-04-25,"BANQIAO,板橋",22.0,17.9,20.3
39,2020-04-26,"BANQIAO,板橋",22.6,18.8,20.6
40,2020-04-27,"BANQIAO,板橋",24.3,20.1,22.3
41,2020-04-28,"BANQIAO,板橋",28.5,20.1,23.9
42,2020-04-29,"BANQIAO,板橋",31.0,21.0,25.4
43,2020-04-30,"BANQIAO,板橋",32.1,18.8,24.9
44,2020-05-01,"BANQIAO,板橋",31.6,20.2,25.4
45,2020-05-02,"BANQIAO,板橋",32.3,22.4,26.5
46,2020-05-03,"BANQIAO,板橋",32.7,23.3,27.6
47,2020-05-04,"BANQIAO,板橋",35.5,25.0,29.1
48,2020-05-05,"BANQIAO,板橋",34.6,25.6,29.2
49,2020-05-06,"BANQIAO,板橋",32.8,22.8,26.6
50,2020-05-07,"BANQIAO,板橋",29.3,22.7,25.8
51,2020-05-08,"BANQIAO,板橋",32.8,23.7,27.9
52,2020-05-09,"BANQIAO,板橋",35.6,24.8,29.9
53,2020-05-10,"BANQIAO,板橋",34.7,25.8,29.2
54,2020-05-11,"BANQIAO,板橋",30.1,24.1,26.1
55,2020-05-12,"BANQIAO,板橋",24.8,22.5,23.5
56,2020-05-13,"BANQIAO,板橋",29.9,23.1,26.4
57,2020-05-14,"BANQIAO,板橋",34.3,24.8,28.4
58,2020-05-15,"BANQIAO,板橋",33.4,23.8,28.5
59,2020-05-16,"BANQIAO,板橋",33.4,23.7,26.9
60,2020-05-17,"BANQIAO,板橋",34.3,22.8,28.0
61,2020-05-18,"BANQIAO,板橋",28.5,23.2,25.7
62,2020-05-19,"BANQIAO,板橋",25.2,22.1,23.4
63,2020-05-20,"BANQIAO,板橋",28.2,22.1,24.6
64,2020-05-21,"BANQIAO,板橋",28.7,23.3,25.1
65,2020-05-22,"BANQIAO,板橋",25.8,23.2,24.0
66,2020-05-23,"BANQIAO,板橋",26.4,22.7,23.6
67,2020-05-24,"BANQIAO,板橋",31.0,23.2,26.3
68,2020-05-25,"BANQIAO,板橋",31.9,24.0,26.9
69,2020-05-26,"BANQIAO,板橋",31.5,24.5,27.6
70,2020-05-27,"BANQIAO,板橋",27.7,23.1,24.7
71,2020-05-28,"BANQIAO,板橋",24.1,22.1,23.1
72,2020-05-29,"BANQIAO,板橋",32.1,23.0,25.6
73,2020-05-30,"BANQIAO,板橋",34.0,23.9,28.4
74,2020-05-31,"BANQIAO,板橋",34.1,24.9,29.2
75,2020-06-01,"BANQIAO,板橋",34.1,26.2,29.2
76,2020-06-02,"BANQIAO,板橋",34.1,25.3,29.1
77,2020-06-03,"BANQIAO,板橋",34.8,25.5,30.1
78,2020-06-04,"BANQIAO,板橋",36.2,24.8,30.2
79,2020-06-05,"BANQIAO,板橋",35.4,26.4,30.4
80,2020-06-06,"BANQIAO,板橋",35.6,26.6,30.3
81,2020-06-07,"BANQIAO,板橋",30.6,24.8,26.7
82,2020-06-08,"BANQIAO,板橋",28.8,24.5,26.4
83,2020-06-09,"BANQIAO,板橋",30.4,24.0,26.9
84,2020-06-10,"BANQIAO,板橋",34.1,24.1,29.1
85,2020-06-11,"BANQIAO,板橋",33.4,26.9,29.5
86,2020-06-12,"BANQIAO,板橋",34.6,26.5,29.8
87,2020-06-13,"BANQIAO,板橋",35.9,26.6,30.4
88,2020-06-14,"BANQIAO,板橋",32.8,25.3,28.4
89,2020-06-15,"BANQIAO,板橋",34.8,25.1,29.8
90,2020-06-16,"BANQIAO,板橋",35.5,25.8,30.4
91,2020-06-17,"BANQIAO,板橋",35.9,25.8,30.9
92,2020-06-18,"BANQIAO,板橋",36.0,26.3,31.1
93,2020-06-19,"BANQIAO,板橋",35.7,26.4,31.1
94,2020-06-20,"BANQIAO,板橋",35.6,27.1,31.1
95,2020-06-21,"BANQIAO,板橋",35.9,26.8,31.0
96,2020-06-22,"BANQIAO,板橋",36.3,26.2,31.1
97,2020-06-23,"BANQIAO,板橋",37.3,26.7,31.9
98,2020-06-24,"BANQIAO,板橋",37.2,27.2,31.5
99,2020-06-25,"BANQIAO,板橋",36.4,27.7,31.3
100,2020-06-26,"BANQIAO,板橋",36.3,25.5,28.8
101,2020-06-27,"BANQIAO,板橋",35.9,25.2,30.6
102,2020-06-28,"BANQIAO,板橋",36.4,26.7,30.4
103,2020-06-29,"BANQIAO,板橋",36.7,26.6,30.9
104,2020-06-30,"BANQIAO,板橋",36.6,27.1,30.9
105,2020-07-01,"BANQIAO,板橋",35.1,26.9,29.4
106,2020-07-02,"BANQIAO,板橋",34.0,24.3,27.6
107,2020-07-03,"BANQIAO,板橋",34.9,24.8,29.5
108,2020-07-04,"BANQIAO,板橋",35.8,26.3,30.6
109,2020-07-05,"BANQIAO,板橋",35.7,25.9,30.6
110,2020-07-06,"BANQIAO,板橋",35.6,26.7,30.9
111,2020-07-07,"BANQIAO,板橋",35.5,27.4,30.9
112,2020-07-08,"BANQIAO,板橋",35.7,27.6,31.1
113,2020-07-09,"BANQIAO,板橋",35.0,27.4,31.1
114,2020-07-10,"BANQIAO,板橋",36.8,27.1,31.2
115,2020-07-11,"BANQIAO,板橋",36.5,27.2,31.1
116,2020-07-12,"BANQIAO,板橋",37.9,26.8,31.5
117,2020-07-13,"BANQIAO,板橋",38.2,27.1,31.9
118,2020-07-14,"BANQIAO,板橋",36.8,27.0,31.5
119,2020-07-15,"BANQIAO,板橋",36.2,28.3,31.3
120,2020-07-16,"BANQIAO,板橋",36.8,28.0,31.3
121,2020-07-17,"BANQIAO,板橋",38.0,26.2,31.8
122,2020-07-18,"BANQIAO,板橋",38.0,27.2,32.1
123,2020-07-19,"BANQIAO,板橋",37.4,25.2,30.1
124,2020-07-20,"BANQIAO,板橋",36.3,24.9,28.6
125,2020-07-21,"BANQIAO,板橋",35.2,24.8,29.0
126,2020-07-22,"BANQIAO,板橋",35.0,25.9,30.2
127,2020-07-23,"BANQIAO,板橋",36.0,26.7,29.7
128,2020-07-24,"BANQIAO,板橋",37.7,25.2,31.5
129,2020-07-25,"BANQIAO,板橋",34.5,27.2,30.2
130,2020-07-26,"BANQIAO,板橋",36.1,25.6,28.5
131,2020-07-27,"BANQIAO,板橋",35.5,24.9,27.7
132,2020-07-28,"BANQIAO,板橋",34.7,24.4,27.9
133,2020-07-29,"BANQIAO,板橋",35.0,25.9,30.7
134,2020-07-30,"BANQIAO,板橋",33.1,26.9,30.4
135,2020-07-31,"BANQIAO,板橋",36.5,29.0,32.3
136,2020-08-01,"BANQIAO,板橋",36.1,27.1,31.5
137,2020-08-02,"BANQIAO,板橋",34.8,26.9,30.1
138,2020-08-03,"BANQIAO,板橋",27.7,25.2,26.5
139,2020-08-04,"BANQIAO,板橋",33.5,24.8,27.5
140,2020-08-05,"BANQIAO,板橋",34.4,25.7,29.1
141,2020-08-06,"BANQIAO,板橋",36.3,26.1,30.5
142,2020-08-07,"BANQIAO,板橋",35.0,26.9,30.5
143,2020-08-08,"BANQIAO,板橋",35.3,26.9,30.3
144,2020-08-09,"BANQIAO,板橋",34.6,26.7,29.9
145,2020-08-10,"BANQIAO,板橋",34.9,26.2,28.9
146,2020-08-11,"BANQIAO,板橋",32.9,24.9,27.6
147,2020-08-12,"BANQIAO,板橋",35.4,24.9,28.6
148,2020-08-13,"BANQIAO,板橋",35.1,25.5,29.4
149,2020-08-14,"BANQIAO,板橋",35.6,24.8,28.7
150,2020-08-15,"BANQIAO,板橋",34.1,25.4,28.2
151,2020-08-16,"BANQIAO,板橋",35.4,24.9,29.0
152,2020-08-17,"BANQIAO,板橋",34.8,28.6,30.9
153,2020-08-18,"BANQIAO,板橋",35.4,28.8,30.9
154,2020-08-19,"BANQIAO,板橋",36.7,26.4,31.1
155,2020-08-20,"BANQIAO,板橋",35.5,26.2,31.0
156,2020-08-21,"BANQIAO,板橋",35.7,27.8,31.0
157,2020-08-22,"BANQIAO,板橋",32.5,25.8,27.6
158,2020-08-23,"BANQIAO,板橋",33.4,25.8,29.1
159,2020-08-24,"BANQIAO,板橋",36.2,26.7,30.7
160,2020-08-25,"BANQIAO,板橋",37.5,27.3,31.7
161,2020-08-26,"BANQIAO,板橋",36.4,27.0,30.8
162,2020-08-27,"BANQIAO,板橋",34.8,25.4,27.9
163,2020-08-28,"BANQIAO,板橋",34.5,25.4,28.5
164,2020-08-29,"BANQIAO,板橋",34.2,25.8,29.3
165,2020-08-30,"BANQIAO,板橋",35.4,26.6,30.7
166,2020-08-31,"BANQIAO,板橋",33.0,25.9,28.6
167,2020-09-01,"BANQIAO,板橋",33.9,25.2,29.0
168,2020-09-02,"BANQIAO,板橋",36.7,26.6,31.1
169,2020-09-03,"BANQIAO,板橋",31.2,25.4,28.2
170,2020-09-04,"BANQIAO,板橋",33.6,24.9,28.9
171,2020-09-05,"BANQIAO,板橋",32.7,25.1,28.4
172,2020-09-06,"BANQIAO,板橋",31.9,22.6,26.7
173,2020-09-07,"BANQIAO,板橋",34.9,21.2,27.6
174,2020-09-08,"BANQIAO,板橋",34.9,25.3,28.4
175,2020-09-09,"BANQIAO,板橋",34.6,25.2,28.7
176,2020-09-10,"BANQIAO,板橋",32.8,24.7,27.4
177,2020-09-11,"BANQIAO,板橋",34.4,25.1,28.8
178,2020-09-12,"BANQIAO,板橋",34.3,26.6,28.6
179,2020-09-13,"BANQIAO,板橋",31.5,25.5,27.7
180,2020-09-14,"BANQIAO,板橋",33.6,25.3,29.1
181,2020-09-15,"BANQIAO,板橋",34.1,25.8,29.4
182,2020-09-16,"BANQIAO,板橋",33.9,26.0,29.3
183,2020-09-17,"BANQIAO,板橋",35.7,25.3,30.0
184,2020-09-18,"BANQIAO,板橋",35.1,26.2,29.8
185,2020-09-19,"BANQIAO,板橋",34.6,27.2,29.8
186,2020-09-20,"BANQIAO,板橋",29.9,24.6,26.7
187,2020-09-21,"BANQIAO,板橋",30.5,25.8,27.2
188,2020-09-22,"BANQIAO,板橋",31.2,24.4,26.9
189,2020-09-23,"BANQIAO,板橋",32.6,23.8,27.3
190,2020-09-24,"BANQIAO,板橋",26.4,22.1,24.6
191,2020-09-25,"BANQIAO,板橋",25.6,21.3,23.7
192,2020-09-26,"BANQIAO,板橋",25.9,21.7,24.0
193,2020-09-27,"BANQIAO,板橋",22.2,20.9,21.7
194,2020-09-28,"BANQIAO,板橋",23.2,21.6,22.3
195,2020-09-29,"BANQIAO,板橋",28.3,21.8,24.5
196,2020-09-30,"BANQIAO,板橋",23.2,20.1,21.4
197,2020-10-01,"BANQIAO,板橋",29.4,20.4,24.9
198,2020-10-02,"BANQIAO,板橋",31.7,23.7,26.8
199,2020-10-03,"BANQIAO,板橋",33.6,21.5,27.8
200,2020-10-04,"BANQIAO,板橋",35.3,22.9,28.6
201,2020-10-05,"BANQIAO,板橋",26.9,22.6,24.3
202,2020-10-06,"BANQIAO,板橋",25.5,22.6,23.8
203,2020-10-07,"BANQIAO,板橋",26.8,22.8,24.1
204,2020-10-08,"BANQIAO,板橋",26.5,21.9,23.7
205,2020-10-09,"BANQIAO,板橋",25.8,21.2,22.8
206,2020-10-10,"BANQIAO,板橋",25.5,22.3,23.9
207,2020-10-11,"BANQIAO,板橋",28.4,23.9,25.6
208,2020-10-12,"BANQIAO,板橋",29.3,24.5,26.1
209,2020-10-13,"BANQIAO,板橋",27.2,24.1,24.8
